400.1776 	DATA 	Keypress: j
407.1356 	EXP 	Set  sound=./stim/G|P.mp3
407.1357 	EXP 	Sound  started
408.5217 	DATA 	Keypress: j
414.9158 	EXP 	Set  sound=./stim/P|P.mp3
414.9159 	EXP 	Sound  started
415.8656 	DATA 	Keypress: j
422.6580 	EXP 	Set  sound=./stim/P|P.mp3
422.6581 	EXP 	Sound  started
423.7616 	DATA 	Keypress: j
430.8495 	EXP 	Set  sound=./stim/P|P.mp3
430.8496 	EXP 	Sound  started
431.6335 	DATA 	Keypress: j
438.5092 	EXP 	Set  sound=./stim/P|P.mp3
438.5094 	EXP 	Sound  started
439.4101 	DATA 	Keypress: j
446.2016 	EXP 	Set  sound=./stim/G|G.mp3
446.2018 	EXP 	Sound  started
447.3775 	DATA 	Keypress: f
454.0918 	EXP 	Set  sound=./stim/P|P.mp3
454.0920 	EXP 	Sound  started
454.8176 	DATA 	Keypress: j
461.7912 	EXP 	Set  sound=./stim/G|P.mp3
461.7914 	EXP 	Sound  started
463.2898 	DATA 	Keypress: j
470.4178 	EXP 	Set  sound=./stim/G|P.mp3
470.4179 	EXP 	Sound  started
471.3536 	DATA 	Keypress: f
478.1192 	EXP 	Set  sound=./stim/G|G.mp3
478.1193 	EXP 	Sound  started
479.1297 	DATA 	Keypress: f
485.7972 	EXP 	Set  sound=./stim/P|P.mp3
485.7974 	EXP 	Sound  started
486.6896 	DATA 	Keypress: j
493.6153 	EXP 	Set  sound=./stim/P|P.mp3
493.6155 	EXP 	Sound  started
494.5697 	DATA 	Keypress: j
501.2581 	EXP 	Set  sound=./stim/G|P.mp3
501.2582 	EXP 	Sound  started
502.5775 	DATA 	Keypress: j
509.3063 	EXP 	Set  sound=./stim/P|P.mp3
509.3064 	EXP 	Sound  started
510.1375 	DATA 	Keypress: j
516.9044 	EXP 	Set  sound=./stim/P|P.mp3
516.9045 	EXP 	Sound  started
517.5617 	DATA 	Keypress: j
524.5091 	EXP 	Set  sound=./stim/P|P.mp3
524.5093 	EXP 	Sound  started
525.1055 	DATA 	Keypress: j
532.1821 	EXP 	Set  sound=./stim/P|P.mp3
532.1822 	EXP 	Sound  started
533.0015 	DATA 	Keypress: j
